# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.ECDSABenchmark.benchmarkKeyGeneration

# Run progress: 0.00% complete, ETA 02:45:00
# Fork: 1 of 5
# Warmup Iteration   1: 134671.869 ns/op
# Warmup Iteration   2: 74628.451 ns/op
# Warmup Iteration   3: 59428.001 ns/op
# Warmup Iteration   4: 63360.924 ns/op
# Warmup Iteration   5: 61486.580 ns/op
# Warmup Iteration   6: 64780.108 ns/op
# Warmup Iteration   7: 57246.800 ns/op
# Warmup Iteration   8: 58081.752 ns/op
# Warmup Iteration   9: 57657.816 ns/op
# Warmup Iteration  10: 60837.091 ns/op
# Warmup Iteration   2: 69009.188 ns/op
# Warmup Iteration   3: 66030.826 ns/op
# Warmup Iteration   4: 59822.045 ns/op
# Warmup Iteration   5: 60434.823 ns/op
# Warmup Iteration   6: 61328.752 ns/op
# Warmup Iteration   7: 59424.811 ns/op
# Warmup Iteration   8: 59276.945 ns/op
# Warmup Iteration   9: 60048.770 ns/op
# Warmup Iteration  10: 60729.605 ns/op
Iteration   1: 60014.521 ns/op
Iteration   2: 65599.754 ns/op
Iteration   3: 58509.213 ns/op
Iteration   4: 61989.981 ns/op
Iteration   5: 58804.051 ns/op
Iteration   6: 59349.985 ns/op
Iteration   7: 62211.239 ns/op
Iteration   8: 63665.110 ns/op
Iteration   9: 63429.911 ns/op
Iteration  10: 60840.092 ns/op
Iteration  11: 61494.954 ns/op
Iteration  12: 63411.350 ns/op
Iteration  13: 60172.250 ns/op
Iteration  14: 62045.448 ns/op
Iteration  15: 60853.926 ns/op
Iteration  16: 63390.568 ns/op
Iteration  17: 60944.939 ns/op
Iteration  18: 63672.193 ns/op
Iteration  19: 65963.209 ns/op
Iteration  20: 63604.791 ns/op
Iteration  21: 59819.778 ns/op
Iteration  22: 61761.458 ns/op
Iteration  23: 59761.500 ns/op
Iteration  24: 64242.588 ns/op
Iteration  25: 65174.293 ns/op
Iteration  26: 63675.226 ns/op
Iteration  27: 62293.282 ns/op
Iteration  28: 61825.468 ns/op
Iteration  29: 65522.476 ns/op
Iteration  30: 61102.169 ns/op
Iteration  31: 60593.834 ns/op
Iteration  32: 61858.849 ns/op
Iteration  33: 60851.053 ns/op
Iteration  34: 58860.081 ns/op
Iteration  35: 62336.052 ns/op
Iteration  36: 61178.333 ns/op
Iteration  37: 63367.950 ns/op
Iteration  38: 62999.685 ns/op
Iteration  39: 62556.363 ns/op
Iteration  40: 64389.255 ns/op
Iteration  41: 64812.352 ns/op
Iteration  42: 70559.652 ns/op
Iteration  43: 64984.890 ns/op
Iteration  44: 61346.626 ns/op
Iteration  45: 62356.356 ns/op
Iteration  46: 60984.800 ns/op
Iteration  47: 61029.416 ns/op
Iteration  48: 59903.129 ns/op
Iteration  49: 61766.040 ns/op
Iteration  50: 58829.618 ns/op
Iteration  51: 60375.157 ns/op
Iteration  52: 60147.806 ns/op
Iteration  53: 59073.438 ns/op
Iteration  54: 59252.461 ns/op
Iteration  55: 59366.560 ns/op
Iteration  56: 63218.144 ns/op
Iteration  57: 60713.692 ns/op
Iteration  58: 60766.868 ns/op
Iteration  59: 65344.358 ns/op
Iteration  60: 61185.986 ns/op
Iteration  61: 61691.757 ns/op
Iteration  62: 61491.765 ns/op
Iteration  63: 57709.724 ns/op
Iteration  64: 60994.663 ns/op
Iteration  65: 59324.601 ns/op
Iteration  66: 59220.166 ns/op
Iteration  67: 58321.739 ns/op
Iteration  68: 57946.628 ns/op
Iteration  69: 59411.710 ns/op
Iteration  70: 58347.963 ns/op
Iteration  71: 59311.849 ns/op
Iteration  72: 58219.546 ns/op
Iteration  73: 57898.253 ns/op
Iteration  74: 57976.154 ns/op
Iteration  75: 57645.109 ns/op
Iteration  76: 59652.963 ns/op
Iteration  77: 58386.422 ns/op
Iteration  78: 56941.032 ns/op
Iteration  79: 58612.030 ns/op
Iteration  80: 60544.637 ns/op
Iteration  81: 58424.307 ns/op
Iteration  82: 57679.982 ns/op
Iteration  83: 58121.288 ns/op
Iteration  84: 59053.634 ns/op
Iteration  85: 61181.097 ns/op
Iteration  86: 59483.956 ns/op
Iteration  87: 59351.229 ns/op
Iteration  88: 59561.738 ns/op
Iteration  89: 58435.288 ns/op
Iteration  90: 58497.191 ns/op
Iteration  91: 58938.032 ns/op
Iteration  92: 59906.672 ns/op
Iteration  93: 58560.089 ns/op
Iteration  94: 59694.023 ns/op
Iteration  95: 59095.893 ns/op
Iteration  96: 59140.599 ns/op
Iteration  97: 59933.274 ns/op
Iteration  98: 59315.402 ns/op
Iteration  99: 60134.477 ns/op
Iteration 100: 59273.291 ns/op

# Run progress: 4.44% complete, ETA 02:38:05
# Fork: 5 of 5
# Warmup Iteration   1: 119269.801 ns/op
# Warmup Iteration   2: 69504.074 ns/op
# Warmup Iteration   3: 63576.469 ns/op
# Warmup Iteration   4: 60799.142 ns/op
# Warmup Iteration   5: 60551.609 ns/op
# Warmup Iteration   6: 60864.726 ns/op
# Warmup Iteration   7: 59342.956 ns/op
# Warmup Iteration   8: 62251.013 ns/op
# Warmup Iteration   9: 62287.540 ns/op
# Warmup Iteration  10: 63776.705 ns/op
Iteration   1: 62463.638 ns/op
Iteration   2: 60489.901 ns/op
Iteration   3: 60529.179 ns/op
Iteration   4: 60308.301 ns/op
Iteration   5: 64444.233 ns/op
Iteration   6: 65041.141 ns/op
Iteration   7: 64599.786 ns/op
Iteration   8: 64527.367 ns/op
Iteration   9: 64643.386 ns/op
Iteration  10: 65779.220 ns/op
Iteration  11: 64886.877 ns/op
Iteration  12: 59989.067 ns/op
Iteration  13: 59238.230 ns/op
Iteration  14: 60686.203 ns/op
Iteration  15: 61337.953 ns/op
Iteration  16: 59275.445 ns/op
Iteration  17: 61415.409 ns/op
Iteration  18: 61023.865 ns/op
Iteration  19: 63256.250 ns/op
Iteration  20: 60674.761 ns/op
Iteration  21: 60471.976 ns/op
Iteration  22: 59111.882 ns/op
Iteration  23: 59100.205 ns/op
Iteration  24: 58857.452 ns/op
Iteration  25: 59001.031 ns/op
Iteration  26: 60644.150 ns/op
Iteration  27: 59319.362 ns/op
Iteration  28: 59719.596 ns/op
Iteration  29: 61360.525 ns/op
Iteration  30: 60291.802 ns/op
Iteration  31: 59354.925 ns/op
Iteration  32: 58447.420 ns/op
Iteration  33: 58949.395 ns/op
Iteration  34: 59771.215 ns/op
Iteration  35: 59558.383 ns/op
Iteration  36: 60038.401 ns/op
Iteration  37: 60795.535 ns/op
Iteration  38: 61115.684 ns/op
Iteration  39: 60078.216 ns/op
Iteration  40: 59841.883 ns/op
Iteration  41: 59060.993 ns/op
Iteration  42: 58407.682 ns/op
Iteration  43: 58555.112 ns/op
Iteration  44: 59199.394 ns/op
Iteration  45: 58284.507 ns/op
Iteration  46: 58580.799 ns/op
Iteration  47: 60030.108 ns/op
Iteration  48: 58630.250 ns/op
Iteration  49: 60153.526 ns/op
Iteration  50: 60357.710 ns/op
Iteration  51: 60165.642 ns/op
Iteration  52: 58948.083 ns/op
Iteration  53: 58824.697 ns/op
Iteration  54: 58710.077 ns/op
Iteration  55: 60745.942 ns/op
Iteration  56: 59421.013 ns/op
Iteration  57: 60466.836 ns/op
Iteration  58: 60401.468 ns/op
Iteration  59: 60305.234 ns/op
Iteration  60: 59017.172 ns/op
Iteration  61: 60169.418 ns/op
Iteration  62: 58773.300 ns/op
Iteration  63: 60007.945 ns/op
Iteration  64: 60182.573 ns/op
Iteration  65: 60195.201 ns/op
Iteration  66: 59706.634 ns/op
Iteration  67: 59930.452 ns/op
Iteration  68: 60107.957 ns/op
Iteration  69: 61917.462 ns/op
Iteration  70: 61831.975 ns/op
Iteration  71: 59903.975 ns/op
Iteration  72: 60025.351 ns/op
Iteration  73: 59680.950 ns/op
Iteration  74: 59725.055 ns/op
Iteration  75: 61669.837 ns/op
Iteration  76: 62436.211 ns/op
Iteration  77: 62317.540 ns/op
Iteration  78: 60576.050 ns/op
Iteration  79: 62044.980 ns/op
Iteration  80: 59936.505 ns/op
Iteration  81: 60176.704 ns/op
Iteration  82: 61908.762 ns/op
Iteration  83: 59048.548 ns/op
Iteration  84: 60877.140 ns/op
Iteration  85: 60855.667 ns/op
Iteration  86: 62849.696 ns/op
Iteration  87: 59485.228 ns/op
Iteration  88: 59800.401 ns/op
Iteration  89: 60303.256 ns/op
Iteration  90: 60828.329 ns/op
Iteration  91: 58627.353 ns/op
Iteration  92: 58819.814 ns/op
Iteration  93: 60173.242 ns/op
Iteration  94: 60314.291 ns/op
Iteration  95: 60817.690 ns/op
Iteration  96: 58624.222 ns/op
Iteration  97: 58566.191 ns/op
Iteration  98: 58576.878 ns/op
Iteration  99: 60528.818 ns/op
Iteration 100: 63032.038 ns/op


Result "org.sample.ECDSABenchmark.benchmarkKeyGeneration":
  60505.790 ±(99.9%) 392.133 ns/op [Average]
  (min, avg, max) = (56463.172, 60505.790, 76853.485), stdev = 2648.950
  CI (99.9%): [60113.657, 60897.923] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.ECDSABenchmark.benchmarkSigning

# Run progress: 5.56% complete, ETA 02:36:15
# Fork: 1 of 5
# Warmup Iteration   1: 407583.798 ns/op
# Warmup Iteration   2: 339307.478 ns/op
# Warmup Iteration   3: 344388.529 ns/op
# Warmup Iteration   4: 304964.741 ns/op
# Warmup Iteration   5: 295465.287 ns/op
# Warmup Iteration   6: 302798.417 ns/op
# Warmup Iteration   7: 303690.282 ns/op
# Warmup Iteration   8: 307512.907 ns/op
# Warmup Iteration   9: 295987.593 ns/op
# Warmup Iteration  10: 288936.523 ns/op
Iteration   1: 269516.724 ns/op
Iteration   2: 265870.508 ns/op
Iteration   3: 261125.480 ns/op
Iteration   4: 290848.553 ns/op
Iteration   5: 264958.016 ns/op
